lat,lng,radius
-77.43,37.54,20
-77.44,37.55,20
-77.45,37.55,20
-77.44,37.54,20
-77.43,38.85,20
-76.2,36.85,20
-76.39,37.04,20
-76.14,36.83,20
-76.4,37.04,20
-77.18,38.78,20
-77.43,37.55,20
-76.16,36.84,20
-76.14,36.84,20
-77.25,38.67,20
-77.44,37.52,20
-76.18,36.85,20
-77.5,38.24,20
-77.43,37.53,20
-77.46,37.55,20
-77.48,37.57,20
-76.36,37.03,20
-77.23,38.88,20
-76.1,36.84,20
-77.22,38.91,20
-78.87,38.45,20
-77.52,38.8,20
-77.41,38.46,20
-76.44,37.02,20
-77.51,38.3,20
-77.28,38.66,20
-77.22,38.88,20
-77.05,38.87,20
-77.21,38.93,20
-77.4,37.23,20
-77.6,37.65,20
-77.18,38.79,20
-77.18,38.77,20
-77.45,37.56,20
-77.46,37.58,20
-77.52,37.61,20
-77.45,37.54,20
-77.47,37.58,20
-76.33,37.02,20
-75.98,36.85,20
-76.38,37.04,20
-77.19,38.74,20
-77.22,38.81,20
-77.49,37.6,20
-77.45,37.52,20
-77.46,37.57,20
-77.61,37.65,20
-77.47,37.56,20
-76.49,37.1,20
-77.47,37.55,20
-77.41,38.47,20
-78.49,38.06,20
-77.36,37.53,20
-77.22,38.87,20
-77.5,38.23,20
-76.19,36.85,20
-76.28,36.87,20
-77.27,38.88,20
-76.05,36.84,20
-77.05,38.81,20
-76.02,36.85,20
-77.29,38.64,20
-77.26,38.67,20
-79.94,37.27,20
-77.42,37.53,20
-77.22,38.89,20
-77.11,38.83,20
-77.48,37.55,20
-77.05,38.8,20
-77.22,38.92,20
-77.14,38.82,20
-77.53,37.5,20
-77.5,38.3,20
-77.08,38.85,20
-76.46,37.09,20
-76.26,36.91,20
-77.22,38.71,20
-76.27,36.92,20
-77.46,38.3,20
-76.2,36.86,20
-77.64,37.42,20
-76.29,36.84,20
-76.27,36.76,20
-77.61,37.51,20
-76.51,37.12,20
-77.46,38.76,20
-77.41,37.56,20
-77.07,38.86,20
-76.3,36.88,20
-76.2,36.87,20
-77.23,38.69,20
-76.43,36.99,20
-77.47,37.59,20
-76.29,36.85,20
-76.25,36.85,20
-77.32,38.58,20
